"Auteur";"Date";"Note";"Sentiment";"Texte"
"LE GAL CARINE";"16 avr. 2024";"2";"0.0";"vien lir different avis voi problem remonte toujour plus moin mem celui rencontr decu produit vrai debut eme jour calibrag impossibl synchronis vibr bref nouveau operationnel donne complet farfelu coup neanmoin pend lap temp servic client repondu rien reproch cot trois semain apre r belot depuis eh bien tout surprendr parfois synchron aucun horair sommeil effectivemm souvent faux donc inutil graphiqu parl aim contr fonction reveil vibrat not auss mod perform falloir recharg mien dej considerablem raye boss derrier ecran chois bagu parc franc pens produir about final utilis tre longtemp deven contrair sourc frustrat supplementair vi dommag"
"Zakié";"3 avr. 2024";"5";"1.0";"bagu satisfais impressionne nombr fonctionnalit offrir reveil vibrat analys sommeil different conseil kir tre util"
"Teddy F.";"2 avr. 2024";"5";"1.0";"slim tout simpl genial savoir vrai impression fonction vibrat parf reveil douceur matin san agress alarm brui quand medit ger stress envoi leger apais aid concentr respir incroi voir quel point sensat pouvoir transform journe assist kir integr circular ring util recommand intelligent artificiel analys metriqu fourn conseil personnalis amelior sommeil augment niveau activit reduir toujour pertinent adapt besoin specif comm avoir coach personnel porte main guid ver mod vi plus sain equilibr sent connect sant mani nouveau innov bien bagu veritabl sourc etre quotidien"
"Pascal JOUBERT";"Actualisé le 2 avr. 2024";"1";"0.0";"attend rembours bagu defectu depuis fevri toujour repons standardise navr desol comprend fair maximum bug techniqu servic financi rest non respect delib engag ecrit parallel debut mar demand deliber coordonne mediateur consomm dont depend entrepris renseign pourt obligatoir figur ni sit circular cgv bon command aucun malgr repete em violat delibere loi regiss commerc electroniqu"
"Carlos f";"31 mars 2024";"5";"1.0";"tre satisfair bagu recommand usag quotidien"
"Dune";"31 mars 2024";"5";"1.0";"dat experient mar"
"Pierre Mtlrd";"30 mars 2024";"1";"0.0";"utilis circular slim depuis mois environ bagu ray facilem pourt meti manuel comm teinte mass moch tre visibl soire tel detecte sommeil fauss complet resultat donne biometr sembl souvent farfelu infrastructur reseau deplorabl cot latenc enorm pann repetiti pert quand quas decharge pass mod mort croix bannier reveil compt journe perdr beaucoup effort arriv autonom perform obligatoir si vouloir surveil recharg prend plutot minut annonce bien appliqu franc tout mail anglais pouvoir gen person pourquoi adapt langu chaqu profil arret grief regret avoir depens argent ca reflech concurrent"
"Pierre-Edouard Allary";"29 mars 2024";"1";"0.0";"mois entrer pai livraison appliqu deficient scor calcul tre episodiquem support don aid farfelu inutil depuis deux bilan experient serieux decev ca aller pouvoir etre amelior instant just bagu moch cher"
"N. DUBREUIL";"29 mars 2024";"4";"1.0";"apprec vrai port bagu quotidien parfois quelqu pet bug bien vit resolus"
"Yassine";"28 mars 2024";"5";"1.0";"vien recevoir bagu top instant hat voir arrive nouveau fonctionnalit"
"Paul";"28 mars 2024";"5";"1.0";"excellent interact"
"Alex";"28 mars 2024";"5";"1.0";"bagu uniqu genr circular fonction bien sommeil nuit grac conseil prodigu kir tre interess"
"Benjamin Ovtcharenko";"Actualisé le 28 mars 2024";"1";"0.0";"evit suit command mettr plus mois arriv alor sit indiqu stock recu bagu enfin met trouv peu serr apre jour utilis recharg ten batter vrai bien dessous valeur indique pouvoir etre fair obligatoir mod perf pend rend compt interieur boit taill donc contact servic client repondu messag ci bonjour benjamin merc avoir envoy photo terriblem navr erreur si correspondr deux option premi neuf san rayur chang gratuit pai frais retour nouveau envoi demanderon attendr recevoir avant autr vouloir comm ca deuxiem raye accord remettr import achet offrir ancien quelqu recycl quel produit electroniqu hesit savoir convi mieux honteux inform oui fort marque mem seul normal informaticien mecanicien repons posit rembours echang bon gratuitem port plaint voix avocat laiss pratiqu commercial eti tromp emballag lavous ete voleursj respons problem envoicomm cens correspond produitj aller prefer euro plutot gagn conflt"
"Berny";"27 mars 2024";"2";"0.0";"bonjour part problem recurrent concern remonte inform bagu appliqu serr souhait pouvoir modifi manuellem heur couch effet cas inactivit soir dev emiss tv pass mod sommeil don matin faux nuir excellent fin apre mid"
"Carl";"27 mars 2024";"4";"1.0";"version slim fair clair different fiabl discret niveau softwar phas sommeil toujour bien detecte surtout eveil attent synchronis donne background produir const progress rest del concurrent"
"Client";"27 mars 2024";"5";"1.0";"bagu connecte tre util utilis quotidien not entrain sportif suivr fiabl qualit discret esthetiqu"
"Yoyo";"Actualisé le 14 mai 2025";"1";"0.0";"fuir mettr jour bagu renvoye decembr derni apre an bataill servic client mail aucun retour ni rembours malgr relanc juin echang techniqu verif reven ver fait merc fair manipul cec celaetc etc ca plus mois march prochain messag post ici tout dir attendr pouvoir ains inform mani cess aller bientot repondr rien compliqu fonction don bon total somm paye achat hello mem avis autr commentair recu attent dat livraison repousse voul absolu connecte circular ring slim sembl about societ fiabl quel erreur h avoir contact hi repons ia san interet rempl formulair sit cat demand nom prenom command numero cod bar boit valid gros falloir champ donc oblig idem snu qr savoir si parvenu voir etanch ipx faq mar point garant comment possibl puisqu legal franc adress recus avenu elyse pari papp fr etabl secondair ferm depuis car demenag mainten av bref detail foultitud typ serieux francais taill esper etre jam vrai fonctionne vibr quand vouloir ajout pris medic appli sauvegard connexion bluetooth coup oubl sur experient chacun dout affair suivr manqu reaction laiss"
"ANISSA";"27 mars 2024";"5";"1.0";"dat experient mar"
"Dorian";"27 mars 2024";"5";"1.0";"recommand bagu circular"
"Ruben";"27 mars 2024";"5";"1.0";"laiss rar commentair produir achet coup vrai fan circular tout simpl genial non seul permettr suivr qualit sommeil amelior fair tel plus ca aut cot discret rendr beaucoup pratiqu montr bracelet mem fonction exempl trouv general peu encombr real quel point util"
"Theo";"26 mars 2024";"5";"1.0";"achet bagu afin suivr bien etre quotidien ca fait peu plus mois test inster decu part trouv tre fin avantag taill voul sent montr const poignet jour comm nuit donc altern top circular possed appliqu complet beaucoup fonctionnalit pouvoir fair reveil douc grac vibrat amelior cycl sommeil inform specifiqu fourn recommand vrai celui cherch"
"Tchammas";"26 mars 2024";"5";"1.0";"command bagu recu temp tre satisfair meilleur achat fair"
"Max";"26 mars 2024";"5";"1.0";"bagu bien designe auss haut technolog tre satisfais mesur sommeil cardiaqu spo ador coaching vagu leg confort"
"Lucie";"26 mars 2024";"5";"1.0";"bagu tre leg esthetiqu etant sportif import suivr donne appliqu circular propos satisfair achat"
"Nadjib";"26 mars 2024";"5";"1.0";"tre surpr bagu imagin etre auss prec fourn inform detaille activit particulierem sport sommeil conseil appliqu permettr amelior recuper plus jol montr connecte separ"
"Zak";"26 mars 2024";"5";"1.0";"excellent produit bagu pratiqu monitoring ser sport design eleg minimal"
"Martin";"26 mars 2024";"5";"1.0";"circular beaucoup aid cycl sommeil enormem autr element li comm energ global"
"Angèle";"25 mars 2024";"5";"1.0";"reveil vibrat bagu leg pratiqu fonctionnalit util tre satisfair avoir"
"Lolo";"25 mars 2024";"5";"1.0";"tre satisf produit correspondr tout fait attend"
"Xueming";"25 mars 2024";"5";"1.0";"pratiqu cool bon bagu app"
"RAN LIU";"25 mars 2024";"4";"1.0";"ca march bien utilis tout jour mem pet souc appliqu sup ring"
"Mahamady Samoura";"25 mars 2024";"5";"1.0";"achet fonction correct depuis plusieur mois mainten"
"Fa�za Bouba";"25 mars 2024";"5";"1.0";"deven indispens"
"Nicolas";"25 mars 2024";"5";"1.0";"superb bagu arriv bien voir inform support top tre reactif"
"Guillaume.M";"24 mars 2024";"5";"1.0";"recent occas achet bagu connecte devoir dir tre impression fonctionnalit design vrai symp discret rendr parf usag quotidien apprec particulier offrir util not analys activit physiqu repo lor entrain sportif rythm cardiaqu calcul vo max plus kir don nombreux recommend enfin aim beaucoup reveil intelig tout matin form plein energ resum satisfair recommand viv quiconqu recherch accessoir fois eleg fonctionnel rest connect amelior qualit vi"
"christine";"24 mars 2024";"5";"1.0";"magnif experient car eter femm apprec design finess legeret etant sportif correspondr parfait attent calcul distanc parcour calor depense cot sommeil enormem reveil intelligent fonction permettr etre reveille zon leg innov fiabl concern bel decouvert rest encor mal donne collecte etudi"
"Jean";"24 mars 2024";"4";"1.0";"recu bagu depuis mois content avoir plutot satisf fonctionnalit"
"Pam";"24 mars 2024";"5";"1.0";"bagu excellent recommand fort"
"Marie";"24 mars 2024";"5";"1.0";"tre satisfair bagu circular livraison lieu rapid utilis appliqu intuit achet amelior sommeil apre semain constat dej"
"Charles";"24 mars 2024";"5";"1.0";"bagu rempl bien fonction tre satisf recommand"
"Benoît";"24 mars 2024";"5";"1.0";"tout matin consult scor sommeil cel incit fair attent journe nuir suiv"
"Geneviève Mace";"24 mars 2024";"5";"1.0";"ensorcel pierr lun etoil bagu fair oubli tout souc"
"Elias Psallis";"24 mars 2024";"5";"1.0";"circular permettr monitor cycl sommeil suivr evolu sant"
"Maxime.F";"23 mars 2024";"5";"1.0";"parfair command utilis produit cherch bagu fonctionnalit depuis moment enfin trouv"
"Naya Rastel";"23 mars 2024";"5";"1.0";"produit sup permettr gard suivr reguli sant plus etre facil utilis"
"Salma Sires";"23 mars 2024";"5";"1.0";"objet pratiqu fourn inform detaille recommand"
"Olivier Rastel";"23 mars 2024";"5";"1.0";"facil utilis don beaucoup inform"
"Mrs Claudine Roussel";"22 mars 2024";"5";"1.0";"sup produitfonctionnalit topfacil utiliserdesign symp"
"Thomas";"22 mars 2024";"4";"1.0";"recu slim vibrat cool synchronis assez long voir prochain mois suit different test utilis"
"Jean-christophe Ollier";"22 mars 2024";"5";"1.0";"excellent produit servic client top"
"Massimo Piemonte";"22 mars 2024";"1";"0.0";"attent bagu ete cauchemar accept envoi fair san accord uniqu parc dir devoir attendr semain remboursem eter argent rembours seul chos mani tre fiabl detect sommeil cepend valeur different cel garmin frequenc cardiaqu total aleatoir lor verif mesur direct affich toujour plus moin mem peu import si entrain fai siest canap jam dessous dessus plusieur problem appairag apre avoir recu mort desol etre negat pouvoir pir"
"Thomas Rolin";"22 mars 2024";"3";"";"bagu encor poindr comm concurrent circular depuis mois manqu precis plus temp charg donne fai matin prendr plomb ia kir presqu inutil tout jour mem retour analys peu approfond"
"Sab merca";"22 mars 2024";"2";"0.0";"bagu souvent beug agreabl port party abras bout plastiqu cass donc trou pouvoir comprendr qualit hauteur prix parl del livraison mois bref tre decu essai samsung voir"
"Christophe Dalla Valle";"22 mars 2024";"1";"0.0";"trist experient bagu defectu dej renvoye mois attent nouveau problemeem buetooh pass rien boug"
"Melodie";"22 mars 2024";"4";"1.0";"sup produit bagu slim command vrai bien gen tout port facil nuir"
"sas.renard";"Actualisé le 25 mars 2024";"1";"0.0";"attend rembours partiel bagu defectu depuis retour colis pourt act toujour repons standardise navr desol comprend fair maximum bug techniqu servic financi rest non respect delib engag ecrit parallel demand deliber coordonne mediateur consomm dont depend entrepris renseign obligatoir figur ni sit circular cgv bon command aucun malgr repete em violat delibere loi regiss commerc electroniqu client repond plus corcular pein publi nouveau typ max merc contact lmon numero suit circularou confirm apre avoir post avis hasard san dout"
"Aurmilya";"20 mars 2024";"4";"1.0";"beaucoup attent avant enfin recevoir bagu different problemat entrepris fabriqu compos servic client tre reactif don info jour quand contact fonction bien utilis depuis plusieur mois satisf"
"charlotte arnould";"Actualisé le 1 avr. 2024";"1";"0.0";"cest vrai pouvoir etre til quelqu final em commentair numero command eter affich er seul oui sag mar pein joindr donc dir don avis nai mettr nom car internet merc lavoir inscrir pro hesit prendr contact mail rembours mieux aller chez samsung bon apre repons agir bien ia puisqu indiqu ci dessous depuis novembr stock moment attent recept vit renvoi fair san mem essai bafou mad in francerespect client repond chat insupport met ici invit person humain repondr papp entrepris circular bagu recu chargeur cadeau propos guis gest commercial mois oubli colis visibl sinon gadget plutot interess appliqu fait"
"Marc Poub";"14 mars 2024";"5";"1.0";"bien recu kit sizing bagu taill mal instant ras"
"Maxime";"14 mars 2024";"4";"1.0";"tre content produit attend mem si chargeur pourr etre peu plus pratiqu merc"
"Fatma Hamza";"12 mars 2024";"4";"1.0";"bagu bon qualit recu temp recommand"
"Leboncoin COPAGABEN";"Actualisé le 19 févr. 2024";"1";"0.0";"cf echang precedent selon direct europeen droit consomm ue lorsqu achet produir lign dispos retract jour compt recept produit permettr renvoi san avoir justifi motif ni pai penalit fair donc recu mail confirm circular coli etait reception rembours ecrit sauf dossi beau etre trait conform tout oblig legal car fois retourn articl mem indiqu vendeur ten recus compr frais livraison standard retard excess etat caus plus tard inform decis toujour rien argument hi vouloir dir souhait regl pratiqu precis suivr bon courag combl dedouan loi adapt invers si forum quelqu sembl reactif trustpilot vi servic client classiqu pouvoir communiqu coordonne mediateur dont depend entrepris info communic malgr demand repete institu savoir autr conseil niaiser stereotype sav command alor effac repons contact jurist boit remettr tet endroit expliqu start up nation devoir reiter question final quel rappel eter besoin cod franc ordon aout decret octobr impos ensuit temporalit recour regard ger effectu auss ecart volontair enver commercial vai proch difficult remboursem ven detaill plateform seul falloir croir capabl tardiv chang attitud"
"Stéphane FOURNIER";"11 févr. 2024";"1";"0.0";"produit repond ni correspondr descript fair recept plusieur mois apresl dat initial autonom moin trois jour mod performanc etant gentil detect certain reveil nocturn savoir comment calcul niveau stress tout part calibr bagu anglais mem si regl autr langu bref bel decept rapport present sit web"
"Maxime David";"10 févr. 2024";"1";"0.0";"gros voleur arriv problem tailleproduit plastiqu cheap cherretour sou jour attendr remboursem ven jamaisfui mois rembours honteentrepr merit coul"
"Manu";"3 févr. 2024";"1";"0.0";"depuis bientot six mois attent hypothetiqu livraison command septembr premi version bagu avant renomme model pro arrive slim auss propos acquer prix reduit bon blagu lor eter prec lieu novembr hes dommag decouvert avis client arnaqu sit cel evit etre tour societ presente comm franc soi dir meilleur experient ser connecte serieus vend produir stock encor fabriqu regulier vent devoir quelqu jour suppos lorsqu cash commenc manqu caiss envoi jam articl moyen depos plaint collect contr typ pratiqu quand mem plus euro vrai lament"
"Jeannot Deslot";"Actualisé le 9 juin 2024";"1";"0.0";"pir entrepris lequel pouvoir avoir affair apre repouss san cess livraison pend mois demand rembours bien vouloir sizing kit puisqu recu fair paypal ca attend servic client anglais seul temp sur bot repond commenc croir jam edit jour aucun part circular pre esper plus rien toujour support sort oui comprend aller contact financi occup bientot essay mail bon courag si achet chez"
"kevin pellé";"Actualisé le 22 janv. 2024";"1";"0.0";"marqu fuir aucun respect client servic deplorabl envoy mail san repons troisiem recu car bagu pann apre presqu mois echang demand repar toujour attendr pouvoir distanc jam voir auss nul dommag franc samsung annonc sai vai mettr argent prochain fois"
"Pascal S";"29 nov. 2023";"1";"0.0";"arnaqu command chez allez perdr argent"
"Franck THOMAS";"24 nov. 2023";"1";"0.0";"cocorico devoir etre fier entrepris francais prend client imbecil bagu commande debut octobr livraison novembr dej del import typ materiel toujour rien recu pir support catastroph aucun contact humain possibl san pass ia debil incap fourn repons chat mail mem chos absolu pouvoir comprendr retard product tel suivr intolerabl esper si recoi jour moin hauteur"
"Olivier Schultz";"15 nov. 2023";"1";"0.0";"fuir arnaqu pai command bagu an dem toujour livr person repond email"
"Celine Del Rabal";"30 oct. 2023";"1";"0.0";"plus an attendr bagu mois remboursem mainten dir rembours fonction devoir pass paypal demand fair quel del aller encor annonc fuir recu connecte our quelqu jour"
"Julien";"Actualisé le 16 janv. 2024";"1";"0.0";"command realise janvi toujour rien recu servic client fair aucun com suiv rar voir truc pareil modif commentair suit repons mois apre dir mettr messag bien moin fois hi demand rembours annul avoir passe san jam not ici obtien"
"FP Arsenault";"27 juil. 2023";"1";"0.0";"presqu aucun suiv aupr client mem apre quelqu mois depassem dat livraison prevu repons servic clientel plusieur commun remboursem produit lent long prendr plus"
"Burel Bruno";"25 juil. 2023";"1";"0.0";"command pass deux mois nouveau vendeur servic client fuir"
"Ludo";"27 juin 2023";"1";"0.0";"pre command fevri pai integral toujour rien dat san cess repousse repons fuir"
"Cassandra Moraine";"12 juin 2023";"1";"0.0";"command bagu mai ensuit peu comm tout mond attendr tre longtemp jam aucun updat circular ouvert client chaqu fois ecriv dis recevr colis mois suiv pouvoir craqu demand rembours bout plus an insist recu repons anglais franc toujour copi coll excus bonjour ni merc rien etre pir entrepris voir servic moqu auss royal satisfact bref fuir mem si achat pass bien fair long feu rythm faillit appli aller"
"philippe ridoux";"26 mai 2023";"1";"0.0";"bagu commande depuis an retour chat quand question pos dat livraison san cess repousse si dernier donne livr demand rembours"
"Dtag Dtag";"10 mai 2023";"1";"0.0";"command anneau juin toujour livr del arret etre repouss repons support preformate irrespectu client demand rembours"
"Alain Kirstetter";"Actualisé le 16 janv. 2024";"1";"0.0";"arnaqu command pay model taill apre avoir recus cde definit toujour rien recu lorsqu demand inform obten aucun repons ete fuirj effect livr an plus tard bagu fonction bien tractat promettr nouveau version cour janvi rest jour wer and se"
"NF";"17 mars 2023";"1";"0.0";"comm beaucoup impress toujour rien recu alor command bagu aucun commun repons demand tchat sit sert moyen remboursem fuir"
